timestamp,user_id,username,question
"2025-08-10 20:49:42","1865607060","eugensuli","Ты на базе ИИ?"
"2025-08-10 20:50:09","1865607060","eugensuli","Как тебя зовут?"
"2025-08-10 20:50:43","1865607060","eugensuli","Но тебя же зовут Voltic_ai_bot"
"2025-08-10 20:51:53","1865607060","eugensuli","Сколько вольт в розетке?"
"2025-08-10 22:19:37","1865607060","eugensuli","Как подключит электродвигатель?"
"2025-08-10 22:19:51","1865607060","eugensuli","Как подключит электродвигатель?"
"2025-08-10 22:21:08","1865607060","eugensuli","Как подключит электродвигатель?"
"2025-08-11 07:40:44","1865607060","eugensuli","Какая сегодня погода"
"2025-08-11 07:41:19","1865607060","eugensuli","Как подобрать кабель для подключения электродвигателя"
"2025-08-19 07:42:51","1865607060","eugensuli","Что ты умеешь"
"2025-08-19 07:43:45","1865607060","eugensuli","Расскажи о электромагнитном поле"
"2025-08-19 07:43:56","1865607060","eugensuli","Расскажи о электромагнитном поле"
"2025-08-19 07:44:07","1865607060","eugensuli","Электромагнетизм, что это"
"2025-08-19 07:44:29","1865607060","eugensuli","Что такое диод"
"2025-08-19 07:45:01","1865607060","eugensuli","Вольт амперная характеристика диода"
"2025-08-19 07:45:29","1865607060","eugensuli","Сколько вольт в розетке"
"2025-08-19 07:46:33","1865607060","eugensuli","Как проверить магнитный пускатель"
"2025-08-20 07:25:43","1865607060","eugensuli","мощность 200 кВт, напряжение 380 В, рассчитай ток"
"2025-08-20 07:25:53","1865607060","eugensuli","мощность 200 кВт, напряжение 380 В, рассчитай ток"
